noresp;CFD;jk;usia;jmlmotor;jmlmobil;jmlsepeda;jmldewasa;jmlanak;seringnya;kendaraan;kendaraan2;ongkos;bparkir;jarak;durasi;mdhparkir;kontitroto;toplajur;kondisijln;keringat;bnykbrg;penumpang;maksud;jmlkunj;frek;bareng;suasana;keramaian;hiburan;cocokor;penasaran
333;2;2;28;2;0;0;2;0;Sepeda m;4;2;0;0;1000;10;0;2;2;1;0;0;1;3;200;Setiap p;1;5;4;4;4;1
334;2;1;22;3;1;0;1;1;Sepeda m;1;1;6751,45;3000;7300;30;4;2;4;1;1;0;1;3;1;Pertama;8;4;4;5;4;2
335;2;2;46;1;0;0;2;1;Sepeda m;2;1;959,75;0;6200;30;0;2;6;2;1;0;0;3;132;Setiap p;0;4;4;4;4;1
336;2;1;40;1;1;1;4;0;Sepeda m;5;2;0;0;20000;120;0;3;4;1;0;0;0;4;40;Setiap p;0;5;2;2;2;1
337;2;2;21;2;0;0;2;0;Sepeda m;4;2;0;0;600;30;0;3;2;2;0;0;0;3;3;Tidak te;0;4;2;4;4;1
338;2;2;43;1;1;2;4;2;Angkutan;1;1;24000;0;5000;30;0;3;4;1;1;0;0;3;6;Tidak te;0;5;4;4;3;1
339;1;2;19;0;0;0;1;0;Angkutan;2;1;4000;0;3000;10;0;2;2;1;0;0;0;2;3;Tidak te;0;4;4;4;3;2
340;1;1;19;1;0;0;1;0;Sepeda m;4;2;0;0;500;10;0;3;2;1;1;1;0;3;3;Setidakn;30;5;4;5;3;2
341;1;2;19;1;0;1;1;0;Sepeda m;2;1;371,52;2000;2400;5;4;2;2;2;0;0;1;2;10;Setidakn;1;4;2;4;4;4
342;1;1;19;0;0;1;5;0;Sepeda m;5;2;0;0;1300;10;0;3;2;1;0;0;0;4;10;Setidakn;1;4;4;4;3;1
343;2;2;21;2;0;0;2;2;Sepeda m;2;1;1160,99;0;7500;20;4;2;4;2;0;1;1;1;132;Setiap p;2;4;4;5;3;2
344;1;2;19;3;1;0;4;0;Sepeda m;2;1;1857,59;3000;12000;40;4;2;4;1;1;0;1;3;30;Setidakn;1;5;4;5;4;1
345;1;1;19;3;1;2;3;2;Sepeda m;2;1;959,75;2000;6200;45;4;2;4;1;1;0;1;3;20;Tidak te;2;4;4;3;3;2
346;1;2;19;1;0;0;4;1;Sepeda m;2;1;619,2;2000;4000;10;4;3;4;2;0;0;0;2;3;Tidak te;0;4;4;3;4;2
347;1;1;18;1;0;0;1;0;Sepeda m;2;1;773,99;3000;5000;7;5;3;3;2;0;1;0;2;4;Tidak te;0;5;2;5;4;1
348;1;2;19;0;0;0;7;0;Angkot;4;2;0;1000;500;10;4;1;2;1;0;0;0;4;100;Dua samp;2;4;4;4;4;1
349;1;1;19;1;0;0;4;0;Sepeda m;2;1;402,48;2000;2600;10;5;3;4;1;1;0;1;2;3;Tidak te;2;5;4;4;4;1
350;1;2;20;2;1;0;4;1;Sepeda m;2;1;154,8;2000;1000;2;4;3;2;1;1;0;1;3;3;Setidakn;2;5;4;5;1;2
351;1;2;21;1;0;1;2;1;Sepeda m;2;1;1702,79;5000;11000;35;3;2;4;1;1;0;0;4;13;Setidakn;3;5;5;5;5;1
352;1;2;18;0;0;0;1;0;Angkutan;2;1;5000;0;3400;7;0;2;4;1;0;0;0;2;2;Tidak te;0;5;3;5;3;4
353;1;2;18;2;1;1;3;0;Sepeda m;1;1;1109,83;5000;1200;15;3;2;4;1;0;0;1;3;4;Setidakn;5;5;4;4;4;3
354;1;1;20;1;0;0;4;1;Sepeda m;5;2;0;0;1000;10;0;2;2;2;0;0;0;2;3;Setidakn;0;4;4;4;4;2
355;1;1;20;3;1;2;5;2;Sepeda m;2;1;154,8;2000;1000;15;4;3;4;1;0;0;0;2;5;Tidak te;1;5;5;4;4;1
358;1;2;25;3;1;1;5;2;Sepeda m;5;2;0;0;10500;60;0;2;4;1;0;0;0;4;5;Setiap p;3;4;4;4;2;1
359;1;2;30;2;1;0;2;0;Sepeda m;1;1;11375,72;3000;12300;25;3;3;8;1;0;0;1;3;1;Pertama;2;5;4;4;4;5
360;1;2;33;0;1;0;1;0;Mobil pr;1;1;5271,68;5000;5700;10;3;2;4;1;1;0;0;3;5;Setidakn;0;5;4;5;4;1
363;1;1;23;0;0;0;4;2;Sepeda m;2;1;1849,71;2000;2000;30;4;2;4;1;1;0;1;3;1;Tidak te;3;4;4;4;4;3
364;2;2;24;0;0;0;29;16;Sepeda m;2;1;1849,71;2000;2000;20;4;2;4;1;1;0;1;3;187;Setidakn;1;5;4;4;3;3
365;1;1;21;0;0;0;20;10;Sepeda m;2;1;15000;2000;18000;20;4;2;4;1;1;0;1;3;5;Tidak te;10;4;4;5;5;3
366;2;2;24;0;1;0;2;2;Mobil pr;1;1;16647,4;2000;18000;60;3;1;4;1;1;1;1;3;2;Tidak te;3;4;5;5;4;1
367;1;2;22;3;0;3;3;2;Sepeda m;2;1;5000;2000;12000;15;2;2;4;1;0;0;1;4;2;Dua samp;5;5;4;5;5;3
368;1;2;22;0;0;0;4;0;Sepeda m;2;1;2774,57;2000;3000;45;4;3;4;1;0;0;1;4;2;Setidakn;4;4;4;4;4;3
369;2;1;22;0;0;0;3;0;Jalan ka;4;2;0;0;10000;30;3;2;4;1;0;0;0;3;6;Tidak te;3;4;4;4;4;4
370;1;1;21;13;0;2;1;0;Sepeda m;2;1;10000;3000;15000;30;2;2;4;1;0;0;1;3;6;Tidak te;1;5;4;4;3;3
371;1;2;22;0;0;0;1;1;Sepeda m;2;1;6473,99;2000;7000;90;4;2;4;1;0;1;1;2;5;Tidak te;1;5;5;5;3;2
372;1;1;22;2;0;0;1;0;Sepeda m;2;1;11098,27;3000;12000;40;4;3;4;1;1;0;1;4;20;Setidakn;1;4;4;4;3;2
373;1;2;23;3;1;1;4;0;Sepeda m;2;1;11098,27;0;12000;30;0;2;4;1;0;0;0;4;6;Tidak te;3;4;3;4;4;3
374;1;1;20;2;1;1;3;2;Sepeda m;5;2;0;0;12000;60;0;3;4;1;0;0;0;4;6;Tidak te;2;4;4;4;3;2
375;1;2;21;0;0;0;2;0;Sepeda m;2;1;13872,83;5000;15000;45;3;2;4;1;1;0;1;4;2;Tidak te;2;4;4;5;5;3
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
